t,x_x,x_vx
0.0,0.0,0.0
0.005,0.0375,7.5
0.01,0.11249999999999999,15.0
0.015,0.22499999999999998,22.5
0.02,0.375,30.0
0.025,0.5625,37.5
0.03,0.7875,45.0
0.035,1.05,52.5
0.04,1.35,60.0
0.045,1.6875,67.5
0.05,2.0625,75.0
0.055,2.475,82.5
0.06,2.9250000000000003,90.0
0.065,3.4125,97.5
0.07,3.9375,105.0
0.075,4.5,112.5
0.08,5.1,120.0
0.085,5.7375,127.5
0.09,6.4125,135.0
0.095,7.125,142.5
0.1,7.875,150.0
0.105,8.6625,157.5
0.11,9.487499999999999,165.0
0.115,10.35,172.5
0.12,11.25,180.0
0.125,12.1875,187.5
0.13,13.1625,195.0
0.135,14.174999999999999,202.5
0.14,15.225,210.0
0.145,16.3125,217.5
0.15,17.4375,225.0
0.155,18.6,232.5
0.16,19.8,240.0
0.165,21.0375,247.5
0.17,22.3125,255.0
0.17500000000000002,23.625,262.5
0.18,24.975,270.0
0.185,26.3625,277.5
0.19,27.7875,285.0
0.195,29.25,292.5
0.2,30.7125,292.5
0.20500000000000002,32.175,292.5
0.21,33.637499999999996,292.5
0.215,35.099999999999994,292.5
0.22,36.56249999999999,292.5
0.225,38.02499999999999,292.5
0.23,39.48749999999999,292.5
0.23500000000000001,40.94999999999999,292.5
0.24,42.41249999999999,292.5
0.245,43.874999999999986,292.5
0.25,45.337499999999984,292.5
0.255,46.79999999999998,292.5
0.26,48.26249999999998,292.5
0.265,49.72499999999998,292.5
0.27,51.18749999999998,292.5
0.275,52.64999999999998,292.5
0.28,54.112499999999976,292.5
0.28500000000000003,55.574999999999974,292.5
0.29,57.03749999999997,292.5
0.295,58.49999999999997,292.5
0.3,59.96249999999997,292.5
0.305,61.42499999999997,292.5
0.31,62.88749999999997,292.5
0.315,64.34999999999997,292.5
0.32,65.81249999999997,292.5
0.325,67.27499999999998,292.5
0.33,68.73749999999998,292.5
0.335,70.16249999999998,285.0
0.34,71.54999999999998,277.5
0.34500000000000003,72.89999999999998,270.0
0.35000000000000003,74.21249999999998,262.5
0.355,75.48749999999998,255.0
0.36,76.72499999999998,247.5
0.365,77.92499999999998,240.0
0.37,79.08749999999998,232.5
0.375,80.21249999999998,225.0
0.38,81.29999999999998,217.5
0.385,82.34999999999998,210.0
0.39,83.36249999999998,202.5
0.395,84.33749999999998,195.0
0.4,85.27499999999998,187.5
0.405,86.17499999999998,180.0
0.41000000000000003,87.03749999999998,172.5
0.41500000000000004,87.86249999999998,165.0
0.42,88.64999999999998,157.5
0.425,89.39999999999998,150.0
0.43,90.11249999999998,142.5
0.435,90.78749999999998,135.0
0.44,91.42499999999998,127.5
0.445,92.02499999999998,120.0
0.45,92.58749999999998,112.5
0.455,93.11249999999998,105.0
0.46,93.59999999999998,97.5
0.465,94.04999999999998,90.0
0.47000000000000003,94.46249999999998,82.5
0.47500000000000003,94.83749999999998,75.0
0.48,95.17499999999998,67.5
0.485,95.47499999999998,60.0
0.49,95.73749999999998,52.5
0.495,95.96249999999998,45.0
0.5,96.14999999999998,37.5
0.505,96.29999999999998,30.0
0.51,96.41249999999998,22.5
0.515,96.48749999999998,15.0
0.52,96.52499999999998,7.5
0.525,96.52499999999998,0.0
0.53,96.52499999999998,0.0
0.535,100.0,0.0
