t,x_x,x_y,x_z,x_vx,x_vy,x_vz,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35
0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0001988,0.0,0.0,1.99e-05,0.0,0.0,0.0,0.0001988,0.0,0.0,1.99e-05,0.0,0.0,0.0,0.0001988,0.0,0.0,1.99e-05,1.99e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.99e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.99e-05,0.0,0.0,4e-06
0.005,0.0009456496198666501,-0.006105228049744007,-0.000317751729932007,0.07029374382149961,0.6053876571106247,-0.028844795932780103,0.00019908244598220592,0.0,0.0,1.9935305747775742e-05,0.0,0.0,0.0,0.00019908244598220592,0.0,0.0,1.9935305747775742e-05,0.0,0.0,0.0,0.00019908244598220592,0.0,0.0,1.9935305747775742e-05,1.9935305747775742e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9935305747775742e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9935305747775742e-05,0.0,0.0,4e-06
0.01,0.0018912992397333002,-0.012210456099488015,-0.000635503459864014,0.14058748764299922,1.2107753142212494,-0.057689591865560205,0.00019936489196441186,0.0,0.0,1.997061149555148e-05,0.0,0.0,0.0,0.00019936489196441186,0.0,0.0,1.997061149555148e-05,0.0,0.0,0.0,0.00019936489196441186,0.0,0.0,1.997061149555148e-05,1.997061149555148e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.997061149555148e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.997061149555148e-05,0.0,0.0,4e-06
0.015,0.002678457983310091,-0.01729244792809358,-0.0008999999998593466,0.18606007815549483,1.6023968659629682,-0.07634911293472589,0.00019966549433372428,0.0,0.0,2e-05,0.0,0.0,0.0,0.00019966549433372428,0.0,0.0,2e-05,0.0,0.0,0.0,0.00019966549433372428,0.0,0.0,2e-05,2e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2e-05,0.0,0.0,4e-06
0.02,0.002678457983310091,-0.01729244792809358,-0.0008999999998593466,0.10825624853444449,0.9323304337619887,-0.04442257913241644,0.00020005627198124338,0.0,0.0,2e-05,0.0,0.0,0.0,0.00020005627198124338,0.0,0.0,2e-05,0.0,0.0,0.0,0.00020005627198124338,0.0,0.0,2e-05,2e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2e-05,0.0,0.0,4e-06
0.025,0.002678457983310091,-0.01729244792809358,-0.0008999999998593466,0.030452418913394175,0.2622640015610094,-0.012496045330106995,0.00020044704962876244,0.0,0.0,2e-05,0.0,0.0,0.0,0.00020044704962876244,0.0,0.0,2e-05,0.0,0.0,0.0,0.00020044704962876244,0.0,0.0,2e-05,2e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2e-05,0.0,0.0,4e-06
0.03,0.002678457983310091,-0.01729244792809358,-0.0008999999998593466,0.0,0.0,0.0,0.00020071510165484683,0.0,0.0,2.0014387706855856e-05,0.0,0.0,0.0,0.00020071510165484683,0.0,0.0,2.0014387706855856e-05,0.0,0.0,0.0,0.00020071510165484683,0.0,0.0,2.0014387706855856e-05,2.0014387706855856e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0014387706855856e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0014387706855856e-05,0.0,0.0,4e-06
0.035,0.002678457983310091,-0.01729244792809358,-0.0008999999998593466,0.0,0.0,0.0,0.00020090422695035482,0.0,0.0,2.0038028368794354e-05,0.0,0.0,0.0,0.00020090422695035482,0.0,0.0,2.0038028368794354e-05,0.0,0.0,0.0,0.00020090422695035482,0.0,0.0,2.0038028368794354e-05,2.0038028368794354e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0038028368794354e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0038028368794354e-05,0.0,0.0,4e-06
0.04,0.002678457983310091,-0.01729244792809358,-0.0008999999998593466,0.0,0.0,0.0,0.00020109335224586278,0.0,0.0,2.006166903073285e-05,0.0,0.0,0.0,0.00020109335224586278,0.0,0.0,2.006166903073285e-05,0.0,0.0,0.0,0.00020109335224586278,0.0,0.0,2.006166903073285e-05,2.006166903073285e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.006166903073285e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.006166903073285e-05,0.0,0.0,4e-06
0.045,0.002678457983310091,-0.01729244792809358,-0.0008999999998593466,0.0,0.0,0.0,0.00020128247754137073,0.0,0.0,2.0085309692671344e-05,0.0,0.0,0.0,0.00020128247754137073,0.0,0.0,2.0085309692671344e-05,0.0,0.0,0.0,0.00020128247754137073,0.0,0.0,2.0085309692671344e-05,2.0085309692671344e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0085309692671344e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0085309692671344e-05,0.0,0.0,4e-06
