t,predict_cpu,update_cpu,quat_x,quat_y,quat_z,quat_w,accel_x,accel_y,accel_z,of_x,of_y,of_z,x_x,x_y,x_z,x_vx,x_vy,x_vz,dt,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35
39.3298940,1.0499500,,-0.9021400,-0.4314357,0.0005405,0.0025084,-0.0018395,0.0155017,0.0040455,,,,3.1761453,-6.6433659,-21.3250542,0.0000000,0.0000000,0.0000000,0.0209990,0.0658965,0.0000000,0.0000000,0.0085819,0.0000000,0.0000000,0.0000000,0.0658965,0.0000000,0.0000000,0.0085819,0.0000000,0.0000000,0.0000000,0.0658965,0.0000000,0.0000000,0.0085819,0.0085819,0.0000000,0.0000000,0.0022138,0.0000000,0.0000000,0.0000000,0.0085819,0.0000000,0.0000000,0.0022138,0.0000000,0.0000000,0.0000000,0.0085819,0.0000000,0.0000000,0.0022138
39.3458390,,1.0200100,-0.9021400,-0.4314357,0.0005405,0.0025084,,,,0.0000000,0.0000000,0.0000000,3.1761453,-6.6433659,-21.3250542,0.0000000,0.0000000,0.0000000,0.1020010,0.0641956,0.0000000,0.0000000,0.0083603,0.0000000,0.0000000,0.0000000,0.0641956,0.0000000,0.0000000,0.0083603,0.0000000,0.0000000,0.0000000,0.0641956,0.0000000,0.0000000,0.0083603,0.0083603,0.0000000,0.0000000,0.0021850,0.0000000,0.0000000,0.0000000,0.0083603,0.0000000,0.0000000,0.0021850,0.0000000,0.0000000,0.0000000,0.0083603,0.0000000,0.0000000,0.0021850
39.3597510,0.9999500,,-0.9021400,-0.4314357,0.0005486,0.0025176,0.0019107,0.0014871,0.0039759,,,,3.1761453,-6.6433659,-21.3250542,0.0000000,0.0000000,0.0000000,0.0199990,0.0645300,0.0000000,0.0000000,0.0084041,0.0000000,0.0000000,0.0000000,0.0645300,0.0000000,0.0000000,0.0084041,0.0000000,0.0000000,0.0000000,0.0645300,0.0000000,0.0000000,0.0084041,0.0084041,0.0000000,0.0000000,0.0021907,0.0000000,0.0000000,0.0000000,0.0084041,0.0000000,0.0000000,0.0021907,0.0000000,0.0000000,0.0000000,0.0084041,0.0000000,0.0000000,0.0021907
39.3727190,1.1501000,,-0.9021400,-0.4314357,0.0005337,0.0025255,0.0042436,0.0069157,0.0085797,,,,3.1761453,-6.6433659,-21.3250542,0.0000000,0.0000000,0.0000000,0.0230020,0.0649166,0.0000000,0.0000000,0.0084546,0.0000000,0.0000000,0.0000000,0.0649166,0.0000000,0.0000000,0.0084546,0.0000000,0.0000000,0.0000000,0.0649166,0.0000000,0.0000000,0.0084546,0.0084546,0.0000000,0.0000000,0.0021973,0.0000000,0.0000000,0.0000000,0.0084546,0.0000000,0.0000000,0.0021973,0.0000000,0.0000000,0.0000000,0.0084546,0.0000000,0.0000000,0.0021973
39.3939610,1.0499500,,-0.9021400,-0.4314357,0.0005467,0.0025439,0.0044564,0.0030840,0.0003836,,,,3.1761453,-6.6433659,-21.3250542,0.0000000,0.0000000,0.0000000,0.0209990,0.0652717,0.0000000,0.0000000,0.0085008,0.0000000,0.0000000,0.0000000,0.0652717,0.0000000,0.0000000,0.0085008,0.0000000,0.0000000,0.0000000,0.0652717,0.0000000,0.0000000,0.0085008,0.0085008,0.0000000,0.0000000,0.0022033,0.0000000,0.0000000,0.0000000,0.0085008,0.0000000,0.0000000,0.0022033,0.0000000,0.0000000,0.0000000,0.0085008,0.0000000,0.0000000,0.0022033
39.4162510,1.0499500,,-0.9021399,-0.4314356,0.0005677,0.0025524,0.0043416,-0.0032111,0.0011684,,,,3.1761453,-6.6433659,-21.3250542,0.0000000,0.0000000,0.0000000,0.0209990,0.0656287,0.0000000,0.0000000,0.0085471,0.0000000,0.0000000,0.0000000,0.0656287,0.0000000,0.0000000,0.0085471,0.0000000,0.0000000,0.0000000,0.0656287,0.0000000,0.0000000,0.0085471,0.0085471,0.0000000,0.0000000,0.0022093,0.0000000,0.0000000,0.0000000,0.0085471,0.0000000,0.0000000,0.0022093,0.0000000,0.0000000,0.0000000,0.0085471,0.0000000,0.0000000,0.0022093
39.4348510,0.9999500,,-0.9021399,-0.4314356,0.0005895,0.0025683,0.0008814,-0.0053516,-0.0050310,,,,3.1761453,-6.6433659,-21.3250542,0.0000000,0.0000000,0.0000000,0.0199990,0.0659705,0.0000000,0.0000000,0.0085913,0.0000000,0.0000000,0.0000000,0.0659705,0.0000000,0.0000000,0.0085913,0.0000000,0.0000000,0.0000000,0.0659705,0.0000000,0.0000000,0.0085913,0.0085913,0.0000000,0.0000000,0.0022150,0.0000000,0.0000000,0.0000000,0.0085913,0.0000000,0.0000000,0.0022150,0.0000000,0.0000000,0.0000000,0.0085913,0.0000000,0.0000000,0.0022150
39.4508370,,1.0000100,-0.9021399,-0.4314356,0.0005895,0.0025683,,,,0.0000000,0.0000000,0.0000000,3.1761453,-6.6433659,-21.3250542,0.0000000,0.0000000,0.0000000,0.1000010,0.0642658,0.0000000,0.0000000,0.0083693,0.0000000,0.0000000,0.0000000,0.0642658,0.0000000,0.0000000,0.0083693,0.0000000,0.0000000,0.0000000,0.0642658,0.0000000,0.0000000,0.0083693,0.0083693,0.0000000,0.0000000,0.0021861,0.0000000,0.0000000,0.0000000,0.0083693,0.0000000,0.0000000,0.0021861,0.0000000,0.0000000,0.0000000,0.0083693,0.0000000,0.0000000,0.0021861
39.4646760,1.0000000,,-0.9021398,-0.4314356,0.0005876,0.0025893,0.0017987,-0.0042169,-0.0012948,,,,3.1761453,-6.6433659,-21.3250542,0.0000000,0.0000000,0.0000000,0.0200000,0.0646005,0.0000000,0.0000000,0.0084131,0.0000000,0.0000000,0.0000000,0.0646005,0.0000000,0.0000000,0.0084131,0.0000000,0.0000000,0.0000000,0.0646005,0.0000000,0.0000000,0.0084131,0.0084131,0.0000000,0.0000000,0.0021918,0.0000000,0.0000000,0.0000000,0.0084131,0.0000000,0.0000000,0.0021918,0.0000000,0.0000000,0.0000000,0.0084131,0.0000000,0.0000000,0.0021918
39.4776650,1.1500000,,-0.9021398,-0.4314356,0.0005726,0.0026016,0.0071173,0.0034228,0.0049678,,,,3.1761453,-6.6433659,-21.3250542,0.0000000,0.0000000,0.0000000,0.0230000,0.0649875,0.0000000,0.0000000,0.0084636,0.0000000,0.0000000,0.0000000,0.0649875,0.0000000,0.0000000,0.0084636,0.0000000,0.0000000,0.0000000,0.0649875,0.0000000,0.0000000,0.0084636,0.0084636,0.0000000,0.0000000,0.0021984,0.0000000,0.0000000,0.0000000,0.0084636,0.0000000,0.0000000,0.0021984,0.0000000,0.0000000,0.0000000,0.0084636,0.0000000,0.0000000,0.0021984
