t,predict_cpu,update_cpu,quat_x,quat_y,quat_z,quat_w,accel_x,accel_y,accel_z,of_x,of_y,of_z,x_x,x_y,x_z,x_vx,x_vy,x_vz,dt,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35
77.1017030,1.1497501,,-0.9310485,-0.3648869,0.0000721,0.0024742,-0.0013473,0.0063896,-0.0026469,,,,1.6792129,-4.2830935,-13.8897667,0.0000000,0.0000000,0.0000000,0.0229950,0.0002009,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000000,0.0002009,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000000,0.0002009,0.0000000,0.0000000,0.0000201,0.0000201,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000040
77.1227540,1.0501001,,-0.9310485,-0.3648870,0.0000607,0.0024635,-0.0010323,0.0033016,0.0006297,,,,1.6792129,-4.2830935,-13.8897667,0.0000000,0.0000000,0.0000000,0.0210020,0.0002018,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000000,0.0002018,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000000,0.0002018,0.0000000,0.0000000,0.0000202,0.0000202,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000040
77.1439540,1.0504000,,-0.9310485,-0.3648870,0.0000500,0.0024617,-0.0001499,0.0000563,0.0010473,,,,1.6792129,-4.2830935,-13.8897667,0.0000000,0.0000000,0.0000000,0.0210080,0.0002026,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000000,0.0002026,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000000,0.0002026,0.0000000,0.0000000,0.0000202,0.0000202,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000040
77.1658480,,1.0000100,-0.9310485,-0.3648870,0.0000393,0.0024546,,,,0.0000000,0.0000000,0.0000000,1.6792129,-4.2830935,-13.8897667,0.0000000,0.0000000,0.0000000,0.1000010,0.0001986,0.0000000,0.0000000,0.0000198,0.0000000,0.0000000,0.0000000,0.0001986,0.0000000,0.0000000,0.0000198,0.0000000,0.0000000,0.0000000,0.0001986,0.0000000,0.0000000,0.0000198,0.0000198,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000198,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000198,0.0000000,0.0000000,0.0000040
77.1794020,1.0497000,,-0.9310485,-0.3648870,0.0000393,0.0024546,-0.0009371,0.0052543,-0.0016736,,,,1.6792129,-4.2830935,-13.8897667,0.0000000,0.0000000,0.0000000,0.0209940,0.0001994,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000000,0.0001994,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000000,0.0001994,0.0000000,0.0000000,0.0000199,0.0000199,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000040
77.1929680,1.4000001,,-0.9310486,-0.3648871,0.0000237,0.0024286,0.0025756,0.0053585,-0.0003485,,,,1.6792129,-4.2830935,-13.8897667,0.0000000,0.0000000,0.0000000,0.0280000,0.0002006,0.0000000,0.0000000,0.0000200,0.0000000,0.0000000,0.0000000,0.0002006,0.0000000,0.0000000,0.0000200,0.0000000,0.0000000,0.0000000,0.0002006,0.0000000,0.0000000,0.0000200,0.0000200,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000200,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000200,0.0000000,0.0000000,0.0000040
77.2127210,1.0003999,,-0.9310486,-0.3648871,0.0000179,0.0024027,0.0009216,0.0083173,0.0010464,,,,1.6792129,-4.2830935,-13.8897667,0.0000000,0.0000000,0.0000000,0.0200080,0.0002014,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000000,0.0002014,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000000,0.0002014,0.0000000,0.0000000,0.0000201,0.0000201,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000040
77.2337730,1.0495000,,-0.9310487,-0.3648872,0.0000084,0.0023794,0.0010711,0.0046470,0.0010115,,,,1.6792129,-4.2830935,-13.8897667,0.0000000,0.0000000,0.0000000,0.0209900,0.0002022,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000000,0.0002022,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000000,0.0002022,0.0000000,0.0000000,0.0000202,0.0000202,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000040
77.2550060,1.0499500,,-0.9310488,-0.3648872,0.0000155,0.0023677,-0.0020050,-0.0001103,0.0024589,,,,1.6792129,-4.2830935,-13.8897667,0.0000000,0.0000000,0.0000000,0.0209990,0.0002031,0.0000000,0.0000000,0.0000203,0.0000000,0.0000000,0.0000000,0.0002031,0.0000000,0.0000000,0.0000203,0.0000000,0.0000000,0.0000000,0.0002031,0.0000000,0.0000000,0.0000203,0.0000203,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000203,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000203,0.0000000,0.0000000,0.0000040
77.2709920,,1.0000299,-0.9310488,-0.3648872,0.0000155,0.0023677,,,,0.0000000,0.0000000,0.0000000,1.6792129,-4.2830935,-13.8897667,0.0000000,0.0000000,0.0000000,0.1000030,0.0001990,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000000,0.0001990,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000000,0.0001990,0.0000000,0.0000000,0.0000199,0.0000199,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000040
