t,predict_cpu,update_cpu,quat_x,quat_y,quat_z,quat_w,accel_x,accel_y,accel_z,of_x,of_y,of_z,x_x,x_y,x_z,x_vx,x_vy,x_vz,dt,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35
62.3381840,,1.0099800,-0.9866972,-0.1625569,-0.0003836,0.0019475,,,,0.0000000,0.0000000,0.0000000,1.1375118,-7.1476393,-21.3477974,0.0000000,0.0000000,0.0000000,0.1009980,0.0513790,0.0000000,0.0000000,0.0070999,0.0000000,0.0000000,0.0000000,0.0513790,0.0000000,0.0000000,0.0070999,0.0000000,0.0000000,0.0000000,0.0513790,0.0000000,0.0000000,0.0070999,0.0070999,0.0000000,0.0000000,0.0019713,0.0000000,0.0000000,0.0000000,0.0070999,0.0000000,0.0000000,0.0019713,0.0000000,0.0000000,0.0000000,0.0070999,0.0000000,0.0000000,0.0019713
62.3516010,1.1001501,,-0.9866972,-0.1625569,-0.0003768,0.0019426,-0.0008883,0.0076634,0.0002648,,,,1.1375118,-7.1476393,-21.3477974,0.0000000,0.0000000,0.0000000,0.0220030,0.0516914,0.0000000,0.0000000,0.0071434,0.0000000,0.0000000,0.0000000,0.0516914,0.0000000,0.0000000,0.0071434,0.0000000,0.0000000,0.0000000,0.0516914,0.0000000,0.0000000,0.0071434,0.0071434,0.0000000,0.0000000,0.0019773,0.0000000,0.0000000,0.0000000,0.0071434,0.0000000,0.0000000,0.0019773,0.0000000,0.0000000,0.0000000,0.0071434,0.0000000,0.0000000,0.0019773
62.3647560,1.0498000,,-0.9866972,-0.1625569,-0.0003611,0.0019502,0.0008529,0.0052203,0.0001324,,,,1.1375118,-7.1476393,-21.3477974,0.0000000,0.0000000,0.0000000,0.0209960,0.0519914,0.0000000,0.0000000,0.0071849,0.0000000,0.0000000,0.0000000,0.0519914,0.0000000,0.0000000,0.0071849,0.0000000,0.0000000,0.0000000,0.0519914,0.0000000,0.0000000,0.0071849,0.0071849,0.0000000,0.0000000,0.0019831,0.0000000,0.0000000,0.0000000,0.0071849,0.0000000,0.0000000,0.0019831,0.0000000,0.0000000,0.0000000,0.0071849,0.0000000,0.0000000,0.0019831
62.3849330,1.0002999,,-0.9866972,-0.1625569,-0.0003711,0.0019537,0.0026695,0.0037469,-0.0013986,,,,1.1375118,-7.1476393,-21.3477974,0.0000000,0.0000000,0.0000000,0.0200060,0.0522789,0.0000000,0.0000000,0.0072247,0.0000000,0.0000000,0.0000000,0.0522789,0.0000000,0.0000000,0.0072247,0.0000000,0.0000000,0.0000000,0.0522789,0.0000000,0.0000000,0.0072247,0.0072247,0.0000000,0.0000000,0.0019886,0.0000000,0.0000000,0.0000000,0.0072247,0.0000000,0.0000000,0.0019886,0.0000000,0.0000000,0.0000000,0.0072247,0.0000000,0.0000000,0.0019886
62.4046030,0.9997000,,-0.9866972,-0.1625569,-0.0003671,0.0019591,0.0060344,0.0013165,0.0005214,,,,1.1375118,-7.1476393,-21.3477974,0.0000000,0.0000000,0.0000000,0.0199940,0.0525678,0.0000000,0.0000000,0.0072645,0.0000000,0.0000000,0.0000000,0.0525678,0.0000000,0.0000000,0.0072645,0.0000000,0.0000000,0.0000000,0.0525678,0.0000000,0.0000000,0.0072645,0.0072645,0.0000000,0.0000000,0.0019941,0.0000000,0.0000000,0.0000000,0.0072645,0.0000000,0.0000000,0.0019941,0.0000000,0.0000000,0.0000000,0.0072645,0.0000000,0.0000000,0.0019941
62.4247640,1.0004500,,-0.9866972,-0.1625569,-0.0003825,0.0019597,0.0086553,0.0030234,0.0027021,,,,1.1375118,-7.1476393,-21.3477974,0.0000000,0.0000000,0.0000000,0.0200090,0.0528585,0.0000000,0.0000000,0.0073044,0.0000000,0.0000000,0.0000000,0.0528585,0.0000000,0.0000000,0.0073044,0.0000000,0.0000000,0.0000000,0.0528585,0.0000000,0.0000000,0.0073044,0.0073044,0.0000000,0.0000000,0.0019996,0.0000000,0.0000000,0.0000000,0.0073044,0.0000000,0.0000000,0.0019996,0.0000000,0.0000000,0.0000000,0.0073044,0.0000000,0.0000000,0.0019996
62.4411510,,1.0000199,-0.9866972,-0.1625569,-0.0003825,0.0019597,,,,0.0000000,0.0000000,0.0000000,1.1375118,-7.1476393,-21.3477974,0.0000000,0.0000000,0.0000000,0.1000020,0.0514112,0.0000000,0.0000000,0.0071045,0.0000000,0.0000000,0.0000000,0.0514112,0.0000000,0.0000000,0.0071045,0.0000000,0.0000000,0.0000000,0.0514112,0.0000000,0.0000000,0.0071045,0.0071045,0.0000000,0.0000000,0.0019719,0.0000000,0.0000000,0.0000000,0.0071045,0.0000000,0.0000000,0.0019719,0.0000000,0.0000000,0.0000000,0.0071045,0.0000000,0.0000000,0.0019719
62.4555930,0.9995500,,-0.9866971,-0.1625569,-0.0003813,0.0019739,0.0063189,0.0024425,-0.0064615,,,,1.1375118,-7.1476393,-21.3477974,0.0000000,0.0000000,0.0000000,0.0199910,0.0516953,0.0000000,0.0000000,0.0071439,0.0000000,0.0000000,0.0000000,0.0516953,0.0000000,0.0000000,0.0071439,0.0000000,0.0000000,0.0000000,0.0516953,0.0000000,0.0000000,0.0071439,0.0071439,0.0000000,0.0000000,0.0019774,0.0000000,0.0000000,0.0000000,0.0071439,0.0000000,0.0000000,0.0019774,0.0000000,0.0000000,0.0000000,0.0071439,0.0000000,0.0000000,0.0019774
62.4687770,1.2004000,,-0.9866971,-0.1625569,-0.0003664,0.0020036,0.0015115,-0.0063471,0.0004314,,,,1.1375118,-7.1476393,-21.3477974,0.0000000,0.0000000,0.0000000,0.0240080,0.0520383,0.0000000,0.0000000,0.0071915,0.0000000,0.0000000,0.0000000,0.0520383,0.0000000,0.0000000,0.0071915,0.0000000,0.0000000,0.0000000,0.0520383,0.0000000,0.0000000,0.0071915,0.0071915,0.0000000,0.0000000,0.0019840,0.0000000,0.0000000,0.0000000,0.0071915,0.0000000,0.0000000,0.0019840,0.0000000,0.0000000,0.0000000,0.0071915,0.0000000,0.0000000,0.0019840
62.4901550,1.0498999,,-0.9866971,-0.1625569,-0.0003751,0.0020134,0.0032277,-0.0036771,0.0019247,,,,1.1375118,-7.1476393,-21.3477974,0.0000000,0.0000000,0.0000000,0.0209980,0.0523403,0.0000000,0.0000000,0.0072332,0.0000000,0.0000000,0.0000000,0.0523403,0.0000000,0.0000000,0.0072332,0.0000000,0.0000000,0.0000000,0.0523403,0.0000000,0.0000000,0.0072332,0.0072332,0.0000000,0.0000000,0.0019898,0.0000000,0.0000000,0.0000000,0.0072332,0.0000000,0.0000000,0.0019898,0.0000000,0.0000000,0.0000000,0.0072332,0.0000000,0.0000000,0.0019898
62.5097270,1.0000000,,-0.9866971,-0.1625569,-0.0003792,0.0020212,0.0028651,-0.0040434,0.0002299,,,,1.1375118,-7.1476393,-21.3477974,0.0000000,0.0000000,0.0000000,0.0200000,0.0526296,0.0000000,0.0000000,0.0072730,0.0000000,0.0000000,0.0000000,0.0526296,0.0000000,0.0000000,0.0072730,0.0000000,0.0000000,0.0000000,0.0526296,0.0000000,0.0000000,0.0072730,0.0072730,0.0000000,0.0000000,0.0019953,0.0000000,0.0000000,0.0000000,0.0072730,0.0000000,0.0000000,0.0019953,0.0000000,0.0000000,0.0000000,0.0072730,0.0000000,0.0000000,0.0019953
62.5299310,1.0000000,,-0.9866971,-0.1625569,-0.0003851,0.0020206,0.0063382,0.0003968,-0.0006175,,,,1.1375118,-7.1476393,-21.3477974,0.0000000,0.0000000,0.0000000,0.0200000,0.0529206,0.0000000,0.0000000,0.0073130,0.0000000,0.0000000,0.0000000,0.0529206,0.0000000,0.0000000,0.0073130,0.0000000,0.0000000,0.0000000,0.0529206,0.0000000,0.0000000,0.0073130,0.0073130,0.0000000,0.0000000,0.0020007,0.0000000,0.0000000,0.0000000,0.0073130,0.0000000,0.0000000,0.0020007,0.0000000,0.0000000,0.0000000,0.0073130,0.0000000,0.0000000,0.0020007
62.5457430,,1.0000299,-0.9866971,-0.1625569,-0.0003851,0.0020206,,,,0.0000000,0.0000000,0.0000000,1.1375118,-7.1476393,-21.3477974,0.0000000,0.0000000,0.0000000,0.1000030,0.0514700,0.0000000,0.0000000,0.0071125,0.0000000,0.0000000,0.0000000,0.0514700,0.0000000,0.0000000,0.0071125,0.0000000,0.0000000,0.0000000,0.0514700,0.0000000,0.0000000,0.0071125,0.0071125,0.0000000,0.0000000,0.0019730,0.0000000,0.0000000,0.0000000,0.0071125,0.0000000,0.0000000,0.0019730,0.0000000,0.0000000,0.0000000,0.0071125,0.0000000,0.0000000,0.0019730
62.5596320,0.9996000,,-0.9866970,-0.1625569,-0.0003848,0.0020406,-0.0009584,-0.0024643,-0.0032384,,,,1.1375118,-7.1476393,-21.3477974,0.0000000,0.0000000,0.0000000,0.0199920,0.0517544,0.0000000,0.0000000,0.0071520,0.0000000,0.0000000,0.0000000,0.0517544,0.0000000,0.0000000,0.0071520,0.0000000,0.0000000,0.0000000,0.0517544,0.0000000,0.0000000,0.0071520,0.0071520,0.0000000,0.0000000,0.0019785,0.0000000,0.0000000,0.0000000,0.0071520,0.0000000,0.0000000,0.0019785,0.0000000,0.0000000,0.0000000,0.0071520,0.0000000,0.0000000,0.0019785
62.5727550,1.1500000,,-0.9866970,-0.1625568,-0.0003686,0.0020760,-0.0001893,-0.0065269,-0.0057696,,,,1.1375118,-7.1476393,-21.3477974,0.0000000,0.0000000,0.0000000,0.0230000,0.0520834,0.0000000,0.0000000,0.0071976,0.0000000,0.0000000,0.0000000,0.0520834,0.0000000,0.0000000,0.0071976,0.0000000,0.0000000,0.0000000,0.0520834,0.0000000,0.0000000,0.0071976,0.0071976,0.0000000,0.0000000,0.0019848,0.0000000,0.0000000,0.0000000,0.0071976,0.0000000,0.0000000,0.0019848,0.0000000,0.0000000,0.0000000,0.0071976,0.0000000,0.0000000,0.0019848
62.5940110,1.0502001,,-0.9866969,-0.1625568,-0.0003595,0.0020985,-0.0041993,-0.0075741,-0.0067911,,,,1.1375118,-7.1476393,-21.3477974,0.0000000,0.0000000,0.0000000,0.0210040,0.0523857,0.0000000,0.0000000,0.0072394,0.0000000,0.0000000,0.0000000,0.0523857,0.0000000,0.0000000,0.0072394,0.0000000,0.0000000,0.0000000,0.0523857,0.0000000,0.0000000,0.0072394,0.0072394,0.0000000,0.0000000,0.0019906,0.0000000,0.0000000,0.0000000,0.0072394,0.0000000,0.0000000,0.0019906,0.0000000,0.0000000,0.0000000,0.0072394,0.0000000,0.0000000,0.0019906
