t,predict_cpu,update_cpu,quat_x,quat_y,quat_z,quat_w,accel_x,accel_y,accel_z,of_x,of_y,of_z,x_x,x_y,x_z,x_vx,x_vy,x_vz,dt,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35
55.7037050,1.0007000,,-0.9595232,-0.2816180,0.0000908,0.0025655,-0.0037948,0.0087986,0.0007342,,,,2.1591840,-6.9269910,-21.3697929,0.0000000,0.0000000,0.0000000,0.0200140,0.0585233,0.0000000,0.0000000,0.0077964,0.0000000,0.0000000,0.0000000,0.0585233,0.0000000,0.0000000,0.0077964,0.0000000,0.0000000,0.0000000,0.0585233,0.0000000,0.0000000,0.0077964,0.0077964,0.0000000,0.0000000,0.0020644,0.0000000,0.0000000,0.0000000,0.0077964,0.0000000,0.0000000,0.0020644,0.0000000,0.0000000,0.0000000,0.0077964,0.0000000,0.0000000,0.0020644
55.7236580,0.9993500,,-0.9595233,-0.2816179,0.0001341,0.0025429,-0.0046287,0.0073595,-0.0003653,,,,2.1591840,-6.9269910,-21.3697929,0.0000000,0.0000000,0.0000000,0.0199870,0.0588350,0.0000000,0.0000000,0.0078378,0.0000000,0.0000000,0.0000000,0.0588350,0.0000000,0.0000000,0.0078378,0.0000000,0.0000000,0.0000000,0.0588350,0.0000000,0.0000000,0.0078378,0.0078378,0.0000000,0.0000000,0.0020699,0.0000000,0.0000000,0.0000000,0.0078378,0.0000000,0.0000000,0.0020699,0.0000000,0.0000000,0.0000000,0.0078378,0.0000000,0.0000000,0.0020699
55.7396270,,1.0161600,-0.9595233,-0.2816179,0.0001341,0.0025429,,,,0.0000000,0.0000000,0.0000000,2.1591840,-6.9269910,-21.3697929,0.0000000,0.0000000,0.0000000,0.1016160,0.0572741,0.0000000,0.0000000,0.0076298,0.0000000,0.0000000,0.0000000,0.0572741,0.0000000,0.0000000,0.0076298,0.0000000,0.0000000,0.0000000,0.0572741,0.0000000,0.0000000,0.0076298,0.0076298,0.0000000,0.0000000,0.0020422,0.0000000,0.0000000,0.0000000,0.0076298,0.0000000,0.0000000,0.0020422,0.0000000,0.0000000,0.0000000,0.0076298,0.0000000,0.0000000,0.0020422
55.7521160,1.1000500,,-0.9595233,-0.2816178,0.0001667,0.0025383,-0.0011242,0.0044656,0.0032353,,,,2.1591840,-6.9269910,-21.3697929,0.0000000,0.0000000,0.0000000,0.0220010,0.0576099,0.0000000,0.0000000,0.0076748,0.0000000,0.0000000,0.0000000,0.0576099,0.0000000,0.0000000,0.0076748,0.0000000,0.0000000,0.0000000,0.0576099,0.0000000,0.0000000,0.0076748,0.0076748,0.0000000,0.0000000,0.0020482,0.0000000,0.0000000,0.0000000,0.0076748,0.0000000,0.0000000,0.0020482,0.0000000,0.0000000,0.0000000,0.0076748,0.0000000,0.0000000,0.0020482
55.7669200,1.0503500,,-0.9595233,-0.2816178,0.0001847,0.0025293,-0.0022940,0.0032475,0.0008852,,,,2.1591840,-6.9269910,-21.3697929,0.0000000,0.0000000,0.0000000,0.0210070,0.0579323,0.0000000,0.0000000,0.0077179,0.0000000,0.0000000,0.0000000,0.0579323,0.0000000,0.0000000,0.0077179,0.0000000,0.0000000,0.0000000,0.0579323,0.0000000,0.0000000,0.0077179,0.0077179,0.0000000,0.0000000,0.0020540,0.0000000,0.0000000,0.0000000,0.0077179,0.0000000,0.0000000,0.0020540,0.0000000,0.0000000,0.0000000,0.0077179,0.0000000,0.0000000,0.0020540
55.7869290,1.0000000,,-0.9595233,-0.2816178,0.0001929,0.0025424,0.0022328,-0.0051435,-0.0032195,,,,2.1591840,-6.9269910,-21.3697929,0.0000000,0.0000000,0.0000000,0.0200000,0.0582410,0.0000000,0.0000000,0.0077590,0.0000000,0.0000000,0.0000000,0.0582410,0.0000000,0.0000000,0.0077590,0.0000000,0.0000000,0.0000000,0.0582410,0.0000000,0.0000000,0.0077590,0.0077590,0.0000000,0.0000000,0.0020595,0.0000000,0.0000000,0.0000000,0.0077590,0.0000000,0.0000000,0.0020595,0.0000000,0.0000000,0.0000000,0.0077590,0.0000000,0.0000000,0.0020595
55.8067070,0.9998000,,-0.9595233,-0.2816178,0.0001800,0.0025472,0.0073954,-0.0005576,0.0008317,,,,2.1591840,-6.9269910,-21.3697929,0.0000000,0.0000000,0.0000000,0.0199960,0.0585513,0.0000000,0.0000000,0.0078003,0.0000000,0.0000000,0.0000000,0.0585513,0.0000000,0.0000000,0.0078003,0.0000000,0.0000000,0.0000000,0.0585513,0.0000000,0.0000000,0.0078003,0.0078003,0.0000000,0.0000000,0.0020650,0.0000000,0.0000000,0.0000000,0.0078003,0.0000000,0.0000000,0.0020650,0.0000000,0.0000000,0.0000000,0.0078003,0.0000000,0.0000000,0.0020650
55.8266970,0.9999000,,-0.9595233,-0.2816178,0.0001859,0.0025577,-0.0002543,-0.0019039,-0.0039787,,,,2.1591840,-6.9269910,-21.3697929,0.0000000,0.0000000,0.0000000,0.0199980,0.0588633,0.0000000,0.0000000,0.0078416,0.0000000,0.0000000,0.0000000,0.0588633,0.0000000,0.0000000,0.0078416,0.0000000,0.0000000,0.0000000,0.0588633,0.0000000,0.0000000,0.0078416,0.0078416,0.0000000,0.0000000,0.0020704,0.0000000,0.0000000,0.0000000,0.0078416,0.0000000,0.0000000,0.0020704,0.0000000,0.0000000,0.0000000,0.0078416,0.0000000,0.0000000,0.0020704
55.8421360,,1.0238500,-0.9595233,-0.2816178,0.0001859,0.0025577,,,,0.0000000,0.0000000,0.0000000,2.1591840,-6.9269910,-21.3697929,0.0000000,0.0000000,0.0000000,0.1023850,0.0573010,0.0000000,0.0000000,0.0076335,0.0000000,0.0000000,0.0000000,0.0573010,0.0000000,0.0000000,0.0076335,0.0000000,0.0000000,0.0000000,0.0573010,0.0000000,0.0000000,0.0076335,0.0076335,0.0000000,0.0000000,0.0020427,0.0000000,0.0000000,0.0000000,0.0076335,0.0000000,0.0000000,0.0020427,0.0000000,0.0000000,0.0000000,0.0076335,0.0000000,0.0000000,0.0020427
55.8566340,1.1005000,,-0.9595232,-0.2816178,0.0001901,0.0025743,-0.0011571,-0.0030424,0.0006962,,,,2.1591840,-6.9269910,-21.3697929,0.0000000,0.0000000,0.0000000,0.0220100,0.0576371,0.0000000,0.0000000,0.0076785,0.0000000,0.0000000,0.0000000,0.0576371,0.0000000,0.0000000,0.0076785,0.0000000,0.0000000,0.0000000,0.0576371,0.0000000,0.0000000,0.0076785,0.0076785,0.0000000,0.0000000,0.0020488,0.0000000,0.0000000,0.0000000,0.0076785,0.0000000,0.0000000,0.0020488,0.0000000,0.0000000,0.0000000,0.0076785,0.0000000,0.0000000,0.0020488
55.8699710,1.0493500,,-0.9595232,-0.2816178,0.0002057,0.0025648,0.0013593,0.0017289,-0.0055113,,,,2.1591840,-6.9269910,-21.3697929,0.0000000,0.0000000,0.0000000,0.0209870,0.0579594,0.0000000,0.0000000,0.0077216,0.0000000,0.0000000,0.0000000,0.0579594,0.0000000,0.0000000,0.0077216,0.0000000,0.0000000,0.0000000,0.0579594,0.0000000,0.0000000,0.0077216,0.0077216,0.0000000,0.0000000,0.0020545,0.0000000,0.0000000,0.0000000,0.0077216,0.0000000,0.0000000,0.0020545,0.0000000,0.0000000,0.0000000,0.0077216,0.0000000,0.0000000,0.0020545
