t,predict_cpu,update_cpu,quat_x,quat_y,quat_z,quat_w,accel_x,accel_y,accel_z,of_x,of_y,of_z,x_x,x_y,x_z,x_vx,x_vy,x_vz,dt,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35
286.7546770,1.1496500,,-0.9751924,-0.2213422,-0.0001301,0.0027237,-0.0017620,-0.0038433,0.0019826,,,,0.9720393,-4.2246780,-11.5927038,0.0000000,0.0000000,0.0000000,0.0229930,0.0002010,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000000,0.0002010,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000000,0.0002010,0.0000000,0.0000000,0.0000201,0.0000201,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000040
286.7757240,1.0504500,,-0.9751924,-0.2213421,-0.0001118,0.0027175,-0.0106009,-0.0058889,-0.0009618,,,,0.9720393,-4.2246780,-11.5927038,0.0000000,0.0000000,0.0000000,0.0210090,0.0002019,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000000,0.0002019,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000000,0.0002019,0.0000000,0.0000000,0.0000202,0.0000202,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000040
286.7968560,1.0495499,,-0.9751924,-0.2213421,-0.0000919,0.0027053,-0.0054759,-0.0059428,-0.0029223,,,,0.9720393,-4.2246780,-11.5927038,0.0000000,0.0000000,0.0000000,0.0209910,0.0002027,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000000,0.0002027,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000000,0.0002027,0.0000000,0.0000000,0.0000202,0.0000202,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000040
286.8181020,,1.0101000,-0.9751924,-0.2213421,-0.0000940,0.0027210,,,,0.0000000,0.0000000,0.0000000,0.9720393,-4.2246780,-11.5927038,0.0000000,0.0000000,0.0000000,0.1010100,0.0001987,0.0000000,0.0000000,0.0000198,0.0000000,0.0000000,0.0000000,0.0001987,0.0000000,0.0000000,0.0000198,0.0000000,0.0000000,0.0000000,0.0001987,0.0000000,0.0000000,0.0000198,0.0000198,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000198,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000198,0.0000000,0.0000000,0.0000040
286.8317070,0.9999500,,-0.9751924,-0.2213421,-0.0000940,0.0027210,-0.0007467,-0.0078847,-0.0075647,,,,0.9720393,-4.2246780,-11.5927038,0.0000000,0.0000000,0.0000000,0.0199990,0.0001995,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000000,0.0001995,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000000,0.0001995,0.0000000,0.0000000,0.0000199,0.0000199,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000040
286.8460780,1.4000001,,-0.9751924,-0.2213421,-0.0000903,0.0027209,0.0026021,-0.0030116,-0.0006085,,,,0.9720393,-4.2246780,-11.5927038,0.0000000,0.0000000,0.0000000,0.0280000,0.0002006,0.0000000,0.0000000,0.0000200,0.0000000,0.0000000,0.0000000,0.0002006,0.0000000,0.0000000,0.0000200,0.0000000,0.0000000,0.0000000,0.0002006,0.0000000,0.0000000,0.0000200,0.0000200,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000200,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000200,0.0000000,0.0000000,0.0000040
286.8648620,1.0008500,,-0.9751924,-0.2213421,-0.0000960,0.0027350,0.0059703,-0.0037259,-0.0020132,,,,0.9720393,-4.2246780,-11.5927038,0.0000000,0.0000000,0.0000000,0.0200170,0.0002014,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000000,0.0002014,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000000,0.0002014,0.0000000,0.0000000,0.0000201,0.0000201,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000040
286.8848220,0.9998000,,-0.9751924,-0.2213421,-0.0000955,0.0027337,0.0066854,-0.0036101,0.0014348,,,,0.9720393,-4.2246780,-11.5927038,0.0000000,0.0000000,0.0000000,0.0199960,0.0002022,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000000,0.0002022,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000000,0.0002022,0.0000000,0.0000000,0.0000202,0.0000202,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000040
286.9046700,1.0001501,,-0.9751924,-0.2213421,-0.0000960,0.0027208,0.0024119,0.0008195,-0.0017240,,,,0.9720393,-4.2246780,-11.5927038,0.0000000,0.0000000,0.0000000,0.0200030,0.0002030,0.0000000,0.0000000,0.0000203,0.0000000,0.0000000,0.0000000,0.0002030,0.0000000,0.0000000,0.0000203,0.0000000,0.0000000,0.0000000,0.0002030,0.0000000,0.0000000,0.0000203,0.0000203,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000203,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000203,0.0000000,0.0000000,0.0000040
286.9209030,,0.9999000,-0.9751924,-0.2213421,-0.0000960,0.0027208,,,,0.0000000,0.0000000,0.0000000,0.9720393,-4.2246780,-11.5927038,0.0000000,0.0000000,0.0000000,0.0999900,0.0001990,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000000,0.0001990,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000000,0.0001990,0.0000000,0.0000000,0.0000199,0.0000199,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000040
