t,predict_cpu,update_cpu,quat_x,quat_y,quat_z,quat_w,accel_x,accel_y,accel_z,of_x,of_y,of_z,x_x,x_y,x_z,x_vx,x_vy,x_vz,dt,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35
71.7556340,1.0494500,,-0.9017239,-0.4323036,0.0006340,0.0026711,-0.0066360,-0.0037794,0.0102817,,,,3.1692135,-6.6528897,-21.3253708,0.0000000,0.0000000,0.0000000,0.0209890,0.0656925,0.0000000,0.0000000,0.0085495,0.0000000,0.0000000,0.0000000,0.0656925,0.0000000,0.0000000,0.0085495,0.0000000,0.0000000,0.0000000,0.0656925,0.0000000,0.0000000,0.0085495,0.0085495,0.0000000,0.0000000,0.0022089,0.0000000,0.0000000,0.0000000,0.0085495,0.0000000,0.0000000,0.0022089,0.0000000,0.0000000,0.0000000,0.0085495,0.0000000,0.0000000,0.0022089
71.7782350,1.0498999,,-0.9017240,-0.4323036,0.0006286,0.0026552,-0.0019371,0.0012536,-0.0002303,,,,3.1692135,-6.6528897,-21.3253708,0.0000000,0.0000000,0.0000000,0.0209980,0.0660515,0.0000000,0.0000000,0.0085959,0.0000000,0.0000000,0.0000000,0.0660515,0.0000000,0.0000000,0.0085959,0.0000000,0.0000000,0.0000000,0.0660515,0.0000000,0.0000000,0.0085959,0.0085959,0.0000000,0.0000000,0.0022149,0.0000000,0.0000000,0.0000000,0.0085959,0.0000000,0.0000000,0.0022149,0.0000000,0.0000000,0.0000000,0.0085959,0.0000000,0.0000000,0.0022149
71.7940090,,1.0199400,-0.9017240,-0.4323036,0.0006286,0.0026494,,,,0.0000000,0.0000000,0.0000000,3.1692135,-6.6528897,-21.3253708,0.0000000,0.0000000,0.0000000,0.1019940,0.0643426,0.0000000,0.0000000,0.0083735,0.0000000,0.0000000,0.0000000,0.0643426,0.0000000,0.0000000,0.0083735,0.0000000,0.0000000,0.0000000,0.0643426,0.0000000,0.0000000,0.0083735,0.0083735,0.0000000,0.0000000,0.0021860,0.0000000,0.0000000,0.0000000,0.0083735,0.0000000,0.0000000,0.0021860,0.0000000,0.0000000,0.0000000,0.0083735,0.0000000,0.0000000,0.0021860
71.8078150,1.0002999,,-0.9017240,-0.4323036,0.0006342,0.0026494,0.0001759,-0.0003726,0.0037911,,,,3.1692135,-6.6528897,-21.3253708,0.0000000,0.0000000,0.0000000,0.0200060,0.0646776,0.0000000,0.0000000,0.0084173,0.0000000,0.0000000,0.0000000,0.0646776,0.0000000,0.0000000,0.0084173,0.0000000,0.0000000,0.0000000,0.0646776,0.0000000,0.0000000,0.0084173,0.0084173,0.0000000,0.0000000,0.0021917,0.0000000,0.0000000,0.0000000,0.0084173,0.0000000,0.0000000,0.0021917,0.0000000,0.0000000,0.0000000,0.0084173,0.0000000,0.0000000,0.0021917
71.8205850,1.1997001,,-0.9017239,-0.4323037,0.0006038,0.0026891,0.0050470,-0.0045580,-0.0020183,,,,3.1692135,-6.6528897,-21.3253708,0.0000000,0.0000000,0.0000000,0.0239940,0.0650816,0.0000000,0.0000000,0.0084700,0.0000000,0.0000000,0.0000000,0.0650816,0.0000000,0.0000000,0.0084700,0.0000000,0.0000000,0.0000000,0.0650816,0.0000000,0.0000000,0.0084700,0.0084700,0.0000000,0.0000000,0.0021985,0.0000000,0.0000000,0.0000000,0.0084700,0.0000000,0.0000000,0.0021985,0.0000000,0.0000000,0.0000000,0.0084700,0.0000000,0.0000000,0.0021985
71.8419200,1.0504500,,-0.9017237,-0.4323037,0.0005894,0.0027127,0.0016156,-0.0051782,-0.0029699,,,,3.1692135,-6.6528897,-21.3253708,0.0000000,0.0000000,0.0000000,0.0210090,0.0654375,0.0000000,0.0000000,0.0085162,0.0000000,0.0000000,0.0000000,0.0654375,0.0000000,0.0000000,0.0085162,0.0000000,0.0000000,0.0000000,0.0654375,0.0000000,0.0000000,0.0085162,0.0085162,0.0000000,0.0000000,0.0022046,0.0000000,0.0000000,0.0000000,0.0085162,0.0000000,0.0000000,0.0022046,0.0000000,0.0000000,0.0000000,0.0085162,0.0000000,0.0000000,0.0022046
71.8642000,1.0496501,,-0.9017237,-0.4323038,0.0005723,0.0027128,0.0028220,-0.0035580,0.0002164,,,,3.1692135,-6.6528897,-21.3253708,0.0000000,0.0000000,0.0000000,0.0209930,0.0657950,0.0000000,0.0000000,0.0085626,0.0000000,0.0000000,0.0000000,0.0657950,0.0000000,0.0000000,0.0085626,0.0000000,0.0000000,0.0000000,0.0657950,0.0000000,0.0000000,0.0085626,0.0085626,0.0000000,0.0000000,0.0022106,0.0000000,0.0000000,0.0000000,0.0085626,0.0000000,0.0000000,0.0022106,0.0000000,0.0000000,0.0000000,0.0085626,0.0000000,0.0000000,0.0022106
71.8828370,0.9999000,,-0.9017237,-0.4323038,0.0005660,0.0027134,0.0017238,-0.0000624,0.0018096,,,,3.1692135,-6.6528897,-21.3253708,0.0000000,0.0000000,0.0000000,0.0199980,0.0661375,0.0000000,0.0000000,0.0086068,0.0000000,0.0000000,0.0000000,0.0661375,0.0000000,0.0000000,0.0086068,0.0000000,0.0000000,0.0000000,0.0661375,0.0000000,0.0000000,0.0086068,0.0086068,0.0000000,0.0000000,0.0022163,0.0000000,0.0000000,0.0000000,0.0086068,0.0000000,0.0000000,0.0022163,0.0000000,0.0000000,0.0000000,0.0086068,0.0000000,0.0000000,0.0022163
71.8986960,,0.9999600,-0.9017237,-0.4323038,0.0005660,0.0027134,,,,0.0000000,0.0000000,0.0000000,3.1692135,-6.6528897,-21.3253708,0.0000000,0.0000000,0.0000000,0.0999960,0.0644242,0.0000000,0.0000000,0.0083839,0.0000000,0.0000000,0.0000000,0.0644242,0.0000000,0.0000000,0.0083839,0.0000000,0.0000000,0.0000000,0.0644242,0.0000000,0.0000000,0.0083839,0.0083839,0.0000000,0.0000000,0.0021873,0.0000000,0.0000000,0.0000000,0.0083839,0.0000000,0.0000000,0.0021873,0.0000000,0.0000000,0.0000000,0.0083839,0.0000000,0.0000000,0.0021873
71.9127080,1.0000000,,-0.9017237,-0.4323038,0.0005709,0.0027072,0.0021742,0.0021661,0.0035903,,,,3.1692135,-6.6528897,-21.3253708,0.0000000,0.0000000,0.0000000,0.0200000,0.0647596,0.0000000,0.0000000,0.0084277,0.0000000,0.0000000,0.0000000,0.0647596,0.0000000,0.0000000,0.0084277,0.0000000,0.0000000,0.0000000,0.0647596,0.0000000,0.0000000,0.0084277,0.0084277,0.0000000,0.0000000,0.0021930,0.0000000,0.0000000,0.0000000,0.0084277,0.0000000,0.0000000,0.0021930,0.0000000,0.0000000,0.0000000,0.0084277,0.0000000,0.0000000,0.0021930
