t,predict_cpu,update_cpu,quat_x,quat_y,quat_z,quat_w,accel_x,accel_y,accel_z,of_x,of_y,of_z,x_x,x_y,x_z,x_vx,x_vy,x_vz,dt,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35
31.9662160,,0.9998100,-0.9873443,-0.1585773,0.0001114,0.0021151,,,,0.0000000,0.0000000,0.0000000,1.1545172,-7.1700058,-21.3562450,0.0000000,0.0000000,0.0000000,0.0999810,0.0513850,0.0000000,0.0000000,0.0071031,0.0000000,0.0000000,0.0000000,0.0513850,0.0000000,0.0000000,0.0071031,0.0000000,0.0000000,0.0000000,0.0513850,0.0000000,0.0000000,0.0071031,0.0071031,0.0000000,0.0000000,0.0019769,0.0000000,0.0000000,0.0000000,0.0071031,0.0000000,0.0000000,0.0019769,0.0000000,0.0000000,0.0000000,0.0071031,0.0000000,0.0000000,0.0019769
31.9796420,0.9996000,,-0.9873443,-0.1585773,0.0001114,0.0021151,-0.0022950,-0.0057128,-0.0074349,,,,1.1545172,-7.1700058,-21.3562450,0.0000000,0.0000000,0.0000000,0.0199920,0.0516691,0.0000000,0.0000000,0.0071427,0.0000000,0.0000000,0.0000000,0.0516691,0.0000000,0.0000000,0.0071427,0.0000000,0.0000000,0.0000000,0.0516691,0.0000000,0.0000000,0.0071427,0.0071427,0.0000000,0.0000000,0.0019824,0.0000000,0.0000000,0.0000000,0.0071427,0.0000000,0.0000000,0.0019824,0.0000000,0.0000000,0.0000000,0.0071427,0.0000000,0.0000000,0.0019824
31.9930650,1.4001000,,-0.9873443,-0.1585773,0.0001316,0.0021404,-0.0045121,-0.0067932,-0.0024967,,,,1.1545172,-7.1700058,-21.3562450,0.0000000,0.0000000,0.0000000,0.0280020,0.0520691,0.0000000,0.0000000,0.0071983,0.0000000,0.0000000,0.0000000,0.0520691,0.0000000,0.0000000,0.0071983,0.0000000,0.0000000,0.0000000,0.0520691,0.0000000,0.0000000,0.0071983,0.0071983,0.0000000,0.0000000,0.0019901,0.0000000,0.0000000,0.0000000,0.0071983,0.0000000,0.0000000,0.0019901,0.0000000,0.0000000,0.0000000,0.0071983,0.0000000,0.0000000,0.0019901
32.0129850,0.9999000,,-0.9873443,-0.1585773,0.0001300,0.0021441,-0.0007607,-0.0017410,0.0026579,,,,1.1545172,-7.1700058,-21.3562450,0.0000000,0.0000000,0.0000000,0.0199980,0.0523570,0.0000000,0.0000000,0.0072382,0.0000000,0.0000000,0.0000000,0.0523570,0.0000000,0.0000000,0.0072382,0.0000000,0.0000000,0.0000000,0.0523570,0.0000000,0.0000000,0.0072382,0.0072382,0.0000000,0.0000000,0.0019956,0.0000000,0.0000000,0.0000000,0.0072382,0.0000000,0.0000000,0.0019956,0.0000000,0.0000000,0.0000000,0.0072382,0.0000000,0.0000000,0.0019956
32.0329740,0.9998000,,-0.9873443,-0.1585773,0.0001092,0.0021326,0.0010845,0.0012428,0.0020614,,,,1.1545172,-7.1700058,-21.3562450,0.0000000,0.0000000,0.0000000,0.0199960,0.0526465,0.0000000,0.0000000,0.0072781,0.0000000,0.0000000,0.0000000,0.0526465,0.0000000,0.0000000,0.0072781,0.0000000,0.0000000,0.0000000,0.0526465,0.0000000,0.0000000,0.0072781,0.0072781,0.0000000,0.0000000,0.0020011,0.0000000,0.0000000,0.0000000,0.0072781,0.0000000,0.0000000,0.0020011,0.0000000,0.0000000,0.0000000,0.0072781,0.0000000,0.0000000,0.0020011
32.0527580,1.0003500,,-0.9873443,-0.1585772,0.0001502,0.0021432,-0.0030283,-0.0016140,0.0010307,,,,1.1545172,-7.1700058,-21.3562450,0.0000000,0.0000000,0.0000000,0.0200070,0.0529377,0.0000000,0.0000000,0.0073182,0.0000000,0.0000000,0.0000000,0.0529377,0.0000000,0.0000000,0.0073182,0.0000000,0.0000000,0.0000000,0.0529377,0.0000000,0.0000000,0.0073182,0.0073182,0.0000000,0.0000000,0.0020065,0.0000000,0.0000000,0.0000000,0.0073182,0.0000000,0.0000000,0.0020065,0.0000000,0.0000000,0.0000000,0.0073182,0.0000000,0.0000000,0.0020065
32.0688780,,1.0000800,-0.9873443,-0.1585772,0.0001502,0.0021432,,,,0.0000000,0.0000000,0.0000000,1.1545172,-7.1700058,-21.3562450,0.0000000,0.0000000,0.0000000,0.1000080,0.0514862,0.0000000,0.0000000,0.0071176,0.0000000,0.0000000,0.0000000,0.0514862,0.0000000,0.0000000,0.0071176,0.0000000,0.0000000,0.0000000,0.0514862,0.0000000,0.0000000,0.0071176,0.0071176,0.0000000,0.0000000,0.0019788,0.0000000,0.0000000,0.0000000,0.0071176,0.0000000,0.0000000,0.0019788,0.0000000,0.0000000,0.0000000,0.0071176,0.0000000,0.0000000,0.0019788
32.0824920,1.0997001,,-0.9873443,-0.1585772,0.0001582,0.0021467,0.0022166,-0.0032942,0.0007595,,,,1.1545172,-7.1700058,-21.3562450,0.0000000,0.0000000,0.0000000,0.0219940,0.0517993,0.0000000,0.0000000,0.0071611,0.0000000,0.0000000,0.0000000,0.0517993,0.0000000,0.0000000,0.0071611,0.0000000,0.0000000,0.0000000,0.0517993,0.0000000,0.0000000,0.0071611,0.0071611,0.0000000,0.0000000,0.0019848,0.0000000,0.0000000,0.0000000,0.0071611,0.0000000,0.0000000,0.0019848,0.0000000,0.0000000,0.0000000,0.0071611,0.0000000,0.0000000,0.0019848
32.0957440,1.0498999,,-0.9873443,-0.1585772,0.0001656,0.0021468,0.0004522,-0.0021811,-0.0008410,,,,1.1545172,-7.1700058,-21.3562450,0.0000000,0.0000000,0.0000000,0.0209980,0.0521000,0.0000000,0.0000000,0.0072029,0.0000000,0.0000000,0.0000000,0.0521000,0.0000000,0.0000000,0.0072029,0.0000000,0.0000000,0.0000000,0.0521000,0.0000000,0.0000000,0.0072029,0.0072029,0.0000000,0.0000000,0.0019906,0.0000000,0.0000000,0.0000000,0.0072029,0.0000000,0.0000000,0.0019906,0.0000000,0.0000000,0.0000000,0.0072029,0.0000000,0.0000000,0.0019906
32.1171720,1.0001000,,-0.9873443,-0.1585772,0.0001688,0.0021564,0.0059176,-0.0038066,-0.0011529,,,,1.1545172,-7.1700058,-21.3562450,0.0000000,0.0000000,0.0000000,0.0200020,0.0523881,0.0000000,0.0000000,0.0072427,0.0000000,0.0000000,0.0000000,0.0523881,0.0000000,0.0000000,0.0072427,0.0000000,0.0000000,0.0000000,0.0523881,0.0000000,0.0000000,0.0072427,0.0072427,0.0000000,0.0000000,0.0019961,0.0000000,0.0000000,0.0000000,0.0072427,0.0000000,0.0000000,0.0019961,0.0000000,0.0000000,0.0000000,0.0072427,0.0000000,0.0000000,0.0019961
32.1358940,0.9998500,,-0.9873442,-0.1585772,0.0001885,0.0021761,0.0011125,-0.0040930,0.0043064,,,,1.1545172,-7.1700058,-21.3562450,0.0000000,0.0000000,0.0000000,0.0199970,0.0526778,0.0000000,0.0000000,0.0072827,0.0000000,0.0000000,0.0000000,0.0526778,0.0000000,0.0000000,0.0072827,0.0000000,0.0000000,0.0000000,0.0526778,0.0000000,0.0000000,0.0072827,0.0072827,0.0000000,0.0000000,0.0020016,0.0000000,0.0000000,0.0000000,0.0072827,0.0000000,0.0000000,0.0020016,0.0000000,0.0000000,0.0000000,0.0072827,0.0000000,0.0000000,0.0020016
32.1559400,1.0000501,,-0.9873441,-0.1585772,0.0001817,0.0021804,0.0016091,-0.0001010,0.0043504,,,,1.1545172,-7.1700058,-21.3562450,0.0000000,0.0000000,0.0000000,0.0200010,0.0529691,0.0000000,0.0000000,0.0073228,0.0000000,0.0000000,0.0000000,0.0529691,0.0000000,0.0000000,0.0073228,0.0000000,0.0000000,0.0000000,0.0529691,0.0000000,0.0000000,0.0073228,0.0073228,0.0000000,0.0000000,0.0020071,0.0000000,0.0000000,0.0000000,0.0073228,0.0000000,0.0000000,0.0020071,0.0000000,0.0000000,0.0000000,0.0073228,0.0000000,0.0000000,0.0020071
32.1718690,,1.0199400,-0.9873441,-0.1585772,0.0001817,0.0021804,,,,0.0000000,0.0000000,0.0000000,1.1545172,-7.1700058,-21.3562450,0.0000000,0.0000000,0.0000000,0.1019940,0.0515159,0.0000000,0.0000000,0.0071219,0.0000000,0.0000000,0.0000000,0.0515159,0.0000000,0.0000000,0.0071219,0.0000000,0.0000000,0.0000000,0.0515159,0.0000000,0.0000000,0.0071219,0.0071219,0.0000000,0.0000000,0.0019793,0.0000000,0.0000000,0.0000000,0.0071219,0.0000000,0.0000000,0.0019793,0.0000000,0.0000000,0.0000000,0.0071219,0.0000000,0.0000000,0.0019793
32.1857100,1.0003999,,-0.9873441,-0.1585772,0.0001564,0.0021798,0.0013234,0.0057860,0.0053491,,,,1.1545172,-7.1700058,-21.3562450,0.0000000,0.0000000,0.0000000,0.0200080,0.0518009,0.0000000,0.0000000,0.0071616,0.0000000,0.0000000,0.0000000,0.0518009,0.0000000,0.0000000,0.0071616,0.0000000,0.0000000,0.0000000,0.0518009,0.0000000,0.0000000,0.0071616,0.0071616,0.0000000,0.0000000,0.0019848,0.0000000,0.0000000,0.0000000,0.0071616,0.0000000,0.0000000,0.0019848,0.0000000,0.0000000,0.0000000,0.0071616,0.0000000,0.0000000,0.0019848
32.1987700,1.1495500,,-0.9873441,-0.1585773,0.0001281,0.0021852,-0.0039770,0.0045867,-0.0000110,,,,1.1545172,-7.1700058,-21.3562450,0.0000000,0.0000000,0.0000000,0.0229910,0.0521302,0.0000000,0.0000000,0.0072073,0.0000000,0.0000000,0.0000000,0.0521302,0.0000000,0.0000000,0.0072073,0.0000000,0.0000000,0.0000000,0.0521302,0.0000000,0.0000000,0.0072073,0.0072072,0.0000000,0.0000000,0.0019911,0.0000000,0.0000000,0.0000000,0.0072072,0.0000000,0.0000000,0.0019911,0.0000000,0.0000000,0.0000000,0.0072072,0.0000000,0.0000000,0.0019911
