t,predict_cpu,update_cpu,quat_x,quat_y,quat_z,quat_w,accel_x,accel_y,accel_z,of_x,of_y,of_z,x_x,x_y,x_z,x_vx,x_vy,x_vz,dt,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35
362.1769120,1.1998000,,-0.9990964,0.0424242,-0.0015168,0.0020710,-0.0037511,0.0016003,-0.0030281,,,,0.2173516,4.8160677,-15.9049110,0.0000000,0.0000000,0.0000000,0.0239960,0.0002007,0.0000000,0.0000000,0.0000200,0.0000000,0.0000000,0.0000000,0.0002007,0.0000000,0.0000000,0.0000200,0.0000000,0.0000000,0.0000000,0.0002007,0.0000000,0.0000000,0.0000200,0.0000200,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000200,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000200,0.0000000,0.0000000,0.0000040
362.1968390,1.0004500,,-0.9990964,0.0424242,-0.0015030,0.0020815,-0.0027834,0.0068655,-0.0029789,,,,0.2173516,4.8160677,-15.9049110,0.0000000,0.0000000,0.0000000,0.0200090,0.0002015,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000000,0.0002015,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000000,0.0002015,0.0000000,0.0000000,0.0000201,0.0000201,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000040
362.2170290,1.0000501,,-0.9990964,0.0424243,-0.0014676,0.0020828,-0.0068772,0.0075297,-0.0002687,,,,0.2173516,4.8160677,-15.9049110,0.0000000,0.0000000,0.0000000,0.0200010,0.0002023,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000000,0.0002023,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000000,0.0002023,0.0000000,0.0000000,0.0000202,0.0000202,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000040
362.2370000,0.9995500,,-0.9990964,0.0424242,-0.0014911,0.0020678,0.0031989,0.0017355,0.0023070,,,,0.2173516,4.8160677,-15.9049110,0.0000000,0.0000000,0.0000000,0.0199910,0.0002031,0.0000000,0.0000000,0.0000203,0.0000000,0.0000000,0.0000000,0.0002031,0.0000000,0.0000000,0.0000203,0.0000000,0.0000000,0.0000000,0.0002031,0.0000000,0.0000000,0.0000203,0.0000203,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000203,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000203,0.0000000,0.0000000,0.0000040
362.2527540,,1.0199900,-0.9990964,0.0424242,-0.0014911,0.0020678,,,,0.0000000,0.0000000,0.0000000,0.2173516,4.8160677,-15.9049110,0.0000000,0.0000000,0.0000000,0.1019990,0.0001991,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000000,0.0001991,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000000,0.0001991,0.0000000,0.0000000,0.0000199,0.0000199,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000199,0.0000000,0.0000000,0.0000040
362.2666540,1.0000501,,-0.9990964,0.0424242,-0.0015020,0.0020613,0.0055515,0.0027446,-0.0047059,,,,0.2173516,4.8160677,-15.9049110,0.0000000,0.0000000,0.0000000,0.0200010,0.0001998,0.0000000,0.0000000,0.0000200,0.0000000,0.0000000,0.0000000,0.0001998,0.0000000,0.0000000,0.0000200,0.0000000,0.0000000,0.0000000,0.0001998,0.0000000,0.0000000,0.0000200,0.0000200,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000200,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000200,0.0000000,0.0000000,0.0000040
362.2797370,1.1498500,,-0.9990965,0.0424243,-0.0014901,0.0020552,-0.0010542,0.0044622,-0.0008881,,,,0.2173516,4.8160677,-15.9049110,0.0000000,0.0000000,0.0000000,0.0229970,0.0002008,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000000,0.0002008,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000000,0.0002008,0.0000000,0.0000000,0.0000201,0.0000201,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000040
362.3007580,1.0502001,,-0.9990965,0.0424243,-0.0014948,0.0020599,0.0049050,-0.0012555,-0.0009323,,,,0.2173516,4.8160677,-15.9049110,0.0000000,0.0000000,0.0000000,0.0210040,0.0002016,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000000,0.0002016,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000000,0.0002016,0.0000000,0.0000000,0.0000201,0.0000201,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000201,0.0000000,0.0000000,0.0000040
362.3220210,1.0502501,,-0.9990964,0.0424243,-0.0014932,0.0020881,0.0027653,-0.0001547,0.0009987,,,,0.2173516,4.8160677,-15.9049110,0.0000000,0.0000000,0.0000000,0.0210050,0.0002025,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000000,0.0002025,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000000,0.0002025,0.0000000,0.0000000,0.0000202,0.0000202,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000202,0.0000000,0.0000000,0.0000040
362.3419520,0.9996500,,-0.9990964,0.0424243,-0.0014923,0.0020846,0.0034044,-0.0011073,0.0063587,,,,0.2173516,4.8160677,-15.9049110,0.0000000,0.0000000,0.0000000,0.0199930,0.0002033,0.0000000,0.0000000,0.0000203,0.0000000,0.0000000,0.0000000,0.0002033,0.0000000,0.0000000,0.0000203,0.0000000,0.0000000,0.0000000,0.0002033,0.0000000,0.0000000,0.0000203,0.0000203,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000203,0.0000000,0.0000000,0.0000040,0.0000000,0.0000000,0.0000000,0.0000203,0.0000000,0.0000000,0.0000040
