t,predict_cpu,update_cpu,quat_x,quat_y,quat_z,quat_w,accel_x,accel_y,accel_z,of_x,of_y,of_z,x_x,x_y,x_z,x_vx,x_vy,x_vz,dt,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35
16.3397140,1.0000000,,-0.9473522,-0.3200546,0.0001589,0.0094234,-0.0046057,0.0174147,-0.0003596,,,,3.3230560,-9.8629770,-24.5297356,0.0000000,0.0000000,0.0000000,0.0200000,0.9419068,0.0000000,0.0000000,0.1177344,0.0000000,0.0000000,0.0000000,0.9419068,0.0000000,0.0000000,0.1177344,0.0000000,0.0000000,0.0000000,0.9419068,0.0000000,0.0000000,0.1177344,0.1177344,0.0000000,0.0000000,0.0169195,0.0000000,0.0000000,0.0000000,0.1177344,0.0000000,0.0000000,0.0169195,0.0000000,0.0000000,0.0000000,0.1177344,0.0000000,0.0000000,0.0169195
16.3526900,1.1499000,,-0.9473534,-0.3200551,0.0001446,0.0092912,-0.0046222,0.0152305,-0.0068479,,,,3.3230560,-9.8629770,-24.5297356,0.0000000,0.0000000,0.0000000,0.0229980,0.9473221,0.0000000,0.0000000,0.1181235,0.0000000,0.0000000,0.0000000,0.9473221,0.0000000,0.0000000,0.1181235,0.0000000,0.0000000,0.0000000,0.9473221,0.0000000,0.0000000,0.1181235,0.1181235,0.0000000,0.0000000,0.0169195,0.0000000,0.0000000,0.0000000,0.1181235,0.0000000,0.0000000,0.0169195,0.0000000,0.0000000,0.0000000,0.1181235,0.0000000,0.0000000,0.0169195
16.3740120,1.0502501,,-0.9473543,-0.3200554,0.0001398,0.0091885,-0.0124124,0.0150463,-0.0054534,,,,3.3230560,-9.8629770,-24.5297356,0.0000000,0.0000000,0.0000000,0.0210050,0.9522845,0.0000000,0.0000000,0.1184789,0.0000000,0.0000000,0.0000000,0.9522845,0.0000000,0.0000000,0.1184789,0.0000000,0.0000000,0.0000000,0.9522845,0.0000000,0.0000000,0.1184789,0.1184789,0.0000000,0.0000000,0.0169196,0.0000000,0.0000000,0.0000000,0.1184789,0.0000000,0.0000000,0.0169196,0.0000000,0.0000000,0.0000000,0.1184789,0.0000000,0.0000000,0.0169196
16.3939150,1.0001000,,-0.9473552,-0.3200559,0.0001210,0.0090727,-0.0050694,0.0206838,0.0008591,,,,3.3230560,-9.8629770,-24.5297356,0.0000000,0.0000000,0.0000000,0.0200020,0.9570242,0.0000000,0.0000000,0.1188173,0.0000000,0.0000000,0.0000000,0.9570242,0.0000000,0.0000000,0.1188173,0.0000000,0.0000000,0.0000000,0.9570242,0.0000000,0.0000000,0.1188173,0.1188174,0.0000000,0.0000000,0.0169196,0.0000000,0.0000000,0.0000000,0.1188174,0.0000000,0.0000000,0.0169196,0.0000000,0.0000000,0.0000000,0.1188174,0.0000000,0.0000000,0.0169196
16.4139840,1.0000501,,-0.9473561,-0.3200563,0.0001152,0.0089611,-0.0003756,0.0199855,0.0064568,,,,3.3230560,-9.8629770,-24.5297356,0.0000000,0.0000000,0.0000000,0.0200010,0.9617771,0.0000000,0.0000000,0.1191557,0.0000000,0.0000000,0.0000000,0.9617771,0.0000000,0.0000000,0.1191557,0.0000000,0.0000000,0.0000000,0.9617771,0.0000000,0.0000000,0.1191557,0.1191558,0.0000000,0.0000000,0.0169196,0.0000000,0.0000000,0.0000000,0.1191558,0.0000000,0.0000000,0.0169196,0.0000000,0.0000000,0.0000000,0.1191558,0.0000000,0.0000000,0.0169196
16.4297020,,1.0199599,-0.9473561,-0.3200563,0.0001152,0.0089611,,,,0.0000000,0.0000000,0.0000000,3.3230560,-9.8629770,-24.5297356,0.0000000,0.0000000,0.0000000,0.1019960,0.9297009,0.0000000,0.0000000,0.1151818,0.0000000,0.0000000,0.0000000,0.9297009,0.0000000,0.0000000,0.1151818,0.0000000,0.0000000,0.0000000,0.9297009,0.0000000,0.0000000,0.1151818,0.1151818,0.0000000,0.0000000,0.0164272,0.0000000,0.0000000,0.0000000,0.1151818,0.0000000,0.0000000,0.0164272,0.0000000,0.0000000,0.0000000,0.1151818,0.0000000,0.0000000,0.0164272
16.4434810,1.0001501,,-0.9473572,-0.3200565,0.0001250,0.0088357,-0.0043077,0.0180494,0.0021832,,,,3.3230560,-9.8629770,-24.5297356,0.0000000,0.0000000,0.0000000,0.0200030,0.9343088,0.0000000,0.0000000,0.1155104,0.0000000,0.0000000,0.0000000,0.9343088,0.0000000,0.0000000,0.1155104,0.0000000,0.0000000,0.0000000,0.9343088,0.0000000,0.0000000,0.1155104,0.1155104,0.0000000,0.0000000,0.0164272,0.0000000,0.0000000,0.0000000,0.1155104,0.0000000,0.0000000,0.0164272,0.0000000,0.0000000,0.0000000,0.1155104,0.0000000,0.0000000,0.0164272
16.4566070,1.1494499,,-0.9473581,-0.3200567,0.0001370,0.0087311,-0.0023293,0.0145636,0.0034643,,,,3.3230560,-9.8629770,-24.5297356,0.0000000,0.0000000,0.0000000,0.0229890,0.9396198,0.0000000,0.0000000,0.1158880,0.0000000,0.0000000,0.0000000,0.9396198,0.0000000,0.0000000,0.1158880,0.0000000,0.0000000,0.0000000,0.9396198,0.0000000,0.0000000,0.1158880,0.1158880,0.0000000,0.0000000,0.0164272,0.0000000,0.0000000,0.0000000,0.1158880,0.0000000,0.0000000,0.0164272,0.0000000,0.0000000,0.0000000,0.1158880,0.0000000,0.0000000,0.0164272
16.4779980,1.0508500,,-0.9473590,-0.3200569,0.0001445,0.0086346,-0.0020420,0.0178638,0.0121615,,,,3.3230560,-9.8629770,-24.5297356,0.0000000,0.0000000,0.0000000,0.0210170,0.9444910,0.0000000,0.0000000,0.1162333,0.0000000,0.0000000,0.0000000,0.9444910,0.0000000,0.0000000,0.1162333,0.0000000,0.0000000,0.0000000,0.9444910,0.0000000,0.0000000,0.1162333,0.1162333,0.0000000,0.0000000,0.0164272,0.0000000,0.0000000,0.0000000,0.1162333,0.0000000,0.0000000,0.0164272,0.0000000,0.0000000,0.0000000,0.1162333,0.0000000,0.0000000,0.0164272
16.4979050,0.9991500,,-0.9473598,-0.3200571,0.0001576,0.0085319,-0.0003801,0.0157526,0.0057680,,,,3.3230560,-9.8629770,-24.5297356,0.0000000,0.0000000,0.0000000,0.0199830,0.9491364,0.0000000,0.0000000,0.1165615,0.0000000,0.0000000,0.0000000,0.9491364,0.0000000,0.0000000,0.1165615,0.0000000,0.0000000,0.0000000,0.9491364,0.0000000,0.0000000,0.1165615,0.1165616,0.0000000,0.0000000,0.0164272,0.0000000,0.0000000,0.0000000,0.1165616,0.0000000,0.0000000,0.0164272,0.0000000,0.0000000,0.0000000,0.1165616,0.0000000,0.0000000,0.0164272
